Department_Name,year,KEN_Code,Insurance_Provider,total_admissions,basic_cost,extra_cost,total_revenue
Αιματολογία,2025,Λ01Χ,ΕΦΚΑ,1,1541.00,0.00,1541.00
Αιματολογία,2025,Μ03Χ,"Ιδιωτική Ασφάλεια",1,6411.00,0.00,6411.00
Αιματολογία,2025,Μ27Μ,ΕΦΚΑ,1,2179.00,0.00,2179.00
Αιματολογία,2025,Μ67Μ,ΕΦΚΑ,1,2428.00,0.00,2428.00
Αιματολογία,2025,Ν03Χ,Ανασφάλιστος,1,3990.00,0.00,3990.00
Αιματολογία,2025,Π01Χ,Ανασφάλιστος,1,3857.00,0.00,3857.00
Αιματολογία,2025,Π05Μα,ΕΦΚΑ,1,3329.00,1941.92,5270.92
Αιματολογία,2025,Π07Χ,Ανασφάλιστος,1,983.00,0.00,983.00
Αιματολογία,2025,Π27Χ,"Ιδιωτική Ασφάλεια",1,988.00,0.00,988.00
Αιματολογία,2025,Π28Χ,Ανασφάλιστος,1,872.00,0.00,872.00
Αιματολογία,2025,Ρ21Χ,ΕΟΠΥΥ,1,778.00,0.00,778.00
Αιματολογία,2025,Σ03Μ,ΕΟΠΥΥ,1,6097.00,0.00,6097.00
Αιματολογία,2025,Υ27Μ,Ανασφάλιστος,1,1673.00,956.00,2629.00
Αιματολογία,2025,Φ02Μ,"Ιδιωτική Ασφάλεια",1,9426.00,4284.55,13710.55
Αιματολογία,2025,Φ62Χ,"Ιδιωτική Ασφάλεια",1,374.00,1683.00,2057.00
Αιματολογία,2025,Ω02Μβ,Ανασφάλιστος,1,2570.00,0.00,2570.00
Αιματολογία,2025,Ω13Α,ΕΟΠΥΥ,1,347.00,3470.00,3817.00
Αιματολογία,2025,Ω34Α,Ανασφάλιστος,1,288.00,0.00,288.00
Αιματολογία,2026,Β20Χ,Ανασφάλιστος,1,413.00,0.00,413.00
Αιματολογία,2026,Β22Α,"Ιδιωτική Ασφάλεια",1,545.00,0.00,545.00
Αιματολογία,2026,Κ38Μ,Ανασφάλιστος,1,1284.00,0.00,1284.00
Αιματολογία,2026,Μ77Χ,ΕΟΠΥΥ,1,1058.00,1058.00,2116.00
Αιματολογία,2026,Ν23Α,ΕΦΚΑ,1,2109.00,0.00,2109.00
Αιματολογία,2026,Ν36Χ,ΕΦΚΑ,1,482.00,2410.00,2892.00
Αιματολογία,2026,Ν39Μ,"Ιδιωτική Ασφάλεια",1,1323.00,2116.80,3439.80
Αιματολογία,2026,Ο05Α,ΕΟΠΥΥ,1,896.00,0.00,896.00
Αιματολογία,2026,Π26Α,"Ιδιωτική Ασφάλεια",1,330.00,3300.00,3630.00
Αιματολογία,2026,Υ08Χ,ΕΟΠΥΥ,1,631.00,0.00,631.00
Γαστρεντερολογία,2024,S20Μ,ΕΟΠΥΥ,1,2716.00,0.00,2716.00
Γαστρεντερολογία,2024,S21Μ,ΕΦΚΑ,1,887.00,0.00,887.00
Γαστρεντερολογία,2024,Α28Χ,"Ιδιωτική Ασφάλεια",1,623.00,0.00,623.00
Γαστρεντερολογία,2024,Δ08Χ,"Ιδιωτική Ασφάλεια",1,791.00,0.00,791.00
Γαστρεντερολογία,2024,Ε06Χα,ΕΦΚΑ,1,20597.00,4119.40,24716.40
Γαστρεντερολογία,2024,Ε09Α,Ανασφάλιστος,1,15346.00,0.00,15346.00
Γαστρεντερολογία,2024,Ε09Γ,"Ιδιωτική Ασφάλεια",1,10706.00,0.00,10706.00
Γαστρεντερολογία,2024,Ε10Α,ΕΟΠΥΥ,1,94009.00,0.00,94009.00
Γαστρεντερολογία,2024,Ζ02Χ,ΕΦΚΑ,1,2979.00,0.00,2979.00
Γαστρεντερολογία,2024,Ζ20Α,ΕΟΠΥΥ,1,241.00,2410.00,2651.00
Γαστρεντερολογία,2024,Η23Χ,"Ιδιωτική Ασφάλεια",1,786.00,0.00,786.00
Γαστρεντερολογία,2024,Η42Μ,ΕΟΠΥΥ,1,1938.00,1695.75,3633.75
Γαστρεντερολογία,2024,Θ20Χ,Ανασφάλιστος,1,1580.00,0.00,1580.00
Γαστρεντερολογία,2024,Κ18Χ,ΕΟΠΥΥ,1,1146.00,0.00,1146.00
Γαστρεντερολογία,2024,Κ21Μ,ΕΦΚΑ,1,3680.00,0.00,3680.00
Γαστρεντερολογία,2024,Κ35Χ,Ανασφάλιστος,1,521.00,0.00,521.00
Γαστρεντερολογία,2024,Κ36Χ,Ανασφάλιστος,1,374.00,0.00,374.00
Γαστρεντερολογία,2024,Λ02Χ,"Ιδιωτική Ασφάλεια",1,1175.00,0.00,1175.00
Γαστρεντερολογία,2024,Μ12Χ,Ανασφάλιστος,1,1665.00,1942.50,3607.50
Γαστρεντερολογία,2024,Μ18Α,ΕΦΚΑ,1,743.00,1486.00,2229.00
Γαστρεντερολογία,2024,Μ19Χ,"Ιδιωτική Ασφάλεια",1,1904.00,0.00,1904.00
Γαστρεντερολογία,2024,Μ75Μ,ΕΟΠΥΥ,1,1455.00,0.00,1455.00
Γαστρεντερολογία,2024,Ν02Χ,"Ιδιωτική Ασφάλεια",1,3836.00,0.00,3836.00
Γαστρεντερολογία,2024,Ν12Χ,Ανασφάλιστος,1,3720.00,5314.29,9034.29
Γαστρεντερολογία,2024,Ν26Χ,ΕΟΠΥΥ,1,872.00,0.00,872.00
Γαστρεντερολογία,2024,Ν27Μα,ΕΦΚΑ,1,2529.00,0.00,2529.00
Γαστρεντερολογία,2024,Ξ22Α,"Ιδιωτική Ασφάλεια",1,514.00,0.00,514.00
Γαστρεντερολογία,2024,Σ21Α,ΕΦΚΑ,1,294.00,0.00,294.00
Γαστρεντερολογία,2024,Τ26Μα,ΕΟΠΥΥ,1,3719.00,0.00,3719.00
Γαστρεντερολογία,2024,Υ04Μ,Ανασφάλιστος,1,4355.00,2613.00,6968.00
Γαστρεντερολογία,2024,Υ07Μ,ΕΟΠΥΥ,1,1218.00,0.00,1218.00
Γαστρεντερολογία,2024,Υ20Χ,ΕΦΚΑ,1,584.00,584.00,1168.00
Γαστρεντερολογία,2024,Φ26Χ,"Ιδιωτική Ασφάλεια",1,828.00,0.00,828.00
Γαστρεντερολογία,2025,S01Χ,ΕΦΚΑ,1,1334.00,0.00,1334.00
Γαστρεντερολογία,2025,Α10Μ,"Ιδιωτική Ασφάλεια",1,6036.00,0.00,6036.00
Γαστρεντερολογία,2025,Α12Χ,Ανασφάλιστος,1,1798.00,0.00,1798.00
Γαστρεντερολογία,2025,Α33Χ,ΕΦΚΑ,1,607.00,1214.00,1821.00
Γαστρεντερολογία,2025,Γ06Χ,Ανασφάλιστος,1,1264.00,0.00,1264.00
Γαστρεντερολογία,2025,Δ20Α,"Ιδιωτική Ασφάλεια",1,171.00,0.00,171.00
Γαστρεντερολογία,2025,Η06Μ,ΕΦΚΑ,1,4646.00,0.00,4646.00
Γαστρεντερολογία,2025,Η40Μα,ΕΦΚΑ,1,2654.00,1327.00,3981.00
Γαστρεντερολογία,2025,Κ16Μ,ΕΟΠΥΥ,1,1531.00,510.33,2041.33
Γαστρεντερολογία,2025,Κ32Α,ΕΟΠΥΥ,1,1043.00,0.00,1043.00
Γαστρεντερολογία,2025,Κ32Α,ΕΦΚΑ,1,1043.00,0.00,1043.00
Γαστρεντερολογία,2025,Κ33Α,Ανασφάλιστος,1,3132.00,1686.46,4818.46
Γαστρεντερολογία,2025,Κ33Α,"Ιδιωτική Ασφάλεια",1,3132.00,1204.62,4336.62
Γαστρεντερολογία,2025,Μ27Μ,ΕΟΠΥΥ,1,2179.00,0.00,2179.00
Γαστρεντερολογία,2025,Μ31Χ,ΕΦΚΑ,1,8533.00,1551.45,10084.45
Γαστρεντερολογία,2025,Μ32Μβ,Ανασφάλιστος,1,9963.00,0.00,9963.00
Γαστρεντερολογία,2025,Ν22Α,Ανασφάλιστος,1,243.00,0.00,243.00
Γαστρεντερολογία,2025,Ν25Α,"Ιδιωτική Ασφάλεια",1,482.00,964.00,1446.00
Γαστρεντερολογία,2025,Ν31Χ,ΕΟΠΥΥ,1,280.00,0.00,280.00
Γαστρεντερολογία,2025,Ν68Χ,Ανασφάλιστος,1,565.00,0.00,565.00
Γαστρεντερολογία,2025,Π01Χ,ΕΦΚΑ,1,3857.00,0.00,3857.00
Γαστρεντερολογία,2025,Π03Χβ,ΕΟΠΥΥ,1,1813.00,2266.25,4079.25
Γαστρεντερολογία,2025,Ρ05Μα,ΕΦΚΑ,1,8110.00,3244.00,11354.00
Γαστρεντερολογία,2025,Ρ21Χ,"Ιδιωτική Ασφάλεια",1,778.00,1556.00,2334.00
Γαστρεντερολογία,2025,Σ04Χ,"Ιδιωτική Ασφάλεια",1,966.00,0.00,966.00
Γαστρεντερολογία,2025,Τ06Χ,ΕΦΚΑ,1,5062.00,0.00,5062.00
Γαστρεντερολογία,2025,Τ20Χ,"Ιδιωτική Ασφάλεια",1,512.00,0.00,512.00
Γαστρεντερολογία,2025,Τ22Α,"Ιδιωτική Ασφάλεια",1,30725.00,2836.15,33561.15
Γαστρεντερολογία,2025,Τ25Μα,ΕΦΚΑ,1,5872.00,0.00,5872.00
Γαστρεντερολογία,2025,Τ27Μβ,"Ιδιωτική Ασφάλεια",1,1294.00,0.00,1294.00
Γαστρεντερολογία,2025,Υ06Μ,ΕΟΠΥΥ,1,2381.00,0.00,2381.00
Γαστρεντερολογία,2025,Υ09Μ,Ανασφάλιστος,1,4729.00,0.00,4729.00
Γαστρεντερολογία,2025,Φ24Χ,"Ιδιωτική Ασφάλεια",1,934.00,0.00,934.00
Γαστρεντερολογία,2025,Ω33Α,"Ιδιωτική Ασφάλεια",1,397.00,0.00,397.00
Γαστρεντερολογία,2026,G01Μα,"Ιδιωτική Ασφάλεια",1,5709.00,0.00,5709.00
Γαστρεντερολογία,2026,Δ14Α,ΕΦΚΑ,1,4198.00,0.00,4198.00
Γαστρεντερολογία,2026,Ζ20Α,"Ιδιωτική Ασφάλεια",1,241.00,0.00,241.00
Γαστρεντερολογία,2026,Κ05Μ,Ανασφάλιστος,1,10023.00,0.00,10023.00
Γαστρεντερολογία,2026,Κ12Χ,"Ιδιωτική Ασφάλεια",1,3694.00,3694.00,7388.00
Γαστρεντερολογία,2026,Κ15Μ,"Ιδιωτική Ασφάλεια",1,2728.00,0.00,2728.00
Γαστρεντερολογία,2026,Μ03Μ,ΕΦΚΑ,1,6307.00,0.00,6307.00
Γαστρεντερολογία,2026,Μ32Μβ,Ανασφάλιστος,1,9963.00,0.00,9963.00
Γαστρεντερολογία,2026,Μ63Χ,"Ιδιωτική Ασφάλεια",1,444.00,0.00,444.00
Γαστρεντερολογία,2026,Π12Χ,Ανασφάλιστος,1,967.00,0.00,967.00
Γαστρεντερολογία,2026,Ω37Β,ΕΟΠΥΥ,1,661.00,440.67,1101.67
Επείγοντα,2024,S01Μ,Ανασφάλιστος,1,2413.00,0.00,2413.00
Επείγοντα,2024,S20Χ,"Ιδιωτική Ασφάλεια",2,3518.00,185.16,3703.16
Επείγοντα,2024,Α31Χ,ΕΦΚΑ,1,910.00,1820.00,2730.00
Επείγοντα,2024,Β22Α,ΕΦΚΑ,1,545.00,0.00,545.00
Επείγοντα,2024,Β24Α,"Ιδιωτική Ασφάλεια",1,296.00,296.00,592.00
Επείγοντα,2024,Δ10Α,ΕΟΠΥΥ,1,672.00,0.00,672.00
Επείγοντα,2024,Δ27Χ,ΕΦΚΑ,1,199.00,0.00,199.00
Επείγοντα,2024,Ε06Χβ,"Ιδιωτική Ασφάλεια",1,15548.00,0.00,15548.00
Επείγοντα,2024,Η20Μ,ΕΦΚΑ,1,3561.00,0.00,3561.00
Επείγοντα,2024,Θ20Μ,"Ιδιωτική Ασφάλεια",1,4296.00,1193.33,5489.33
Επείγοντα,2024,Κ30Χ,ΕΟΠΥΥ,1,4470.00,0.00,4470.00
Επείγοντα,2024,Μ12Χ,ΕΦΚΑ,1,1665.00,1665.00,3330.00
Επείγοντα,2024,Μ25Χ,Ανασφάλιστος,1,1260.00,3780.00,5040.00
Επείγοντα,2024,Μ71Μ,"Ιδιωτική Ασφάλεια",1,1323.00,0.00,1323.00
Επείγοντα,2024,Μ76Μ,"Ιδιωτική Ασφάλεια",1,1292.00,1845.71,3137.71
Επείγοντα,2024,Ν23Α,ΕΟΠΥΥ,1,2109.00,0.00,2109.00
Επείγοντα,2024,Ν29Μ,"Ιδιωτική Ασφάλεια",1,1230.00,1230.00,2460.00
Επείγοντα,2024,Ξ02Χ,ΕΟΠΥΥ,1,781.00,0.00,781.00
Επείγοντα,2024,Π12Μβ,Ανασφάλιστος,1,1932.00,1932.00,3864.00
Επείγοντα,2024,Ρ10Μα,ΕΟΠΥΥ,1,7118.00,2669.25,9787.25
Επείγοντα,2024,Ρ10Μα,ΕΦΚΑ,1,7118.00,1186.33,8304.33
Επείγοντα,2024,Ρ20Χ,"Ιδιωτική Ασφάλεια",1,1261.00,0.00,1261.00
Επείγοντα,2024,Τ04Α,"Ιδιωτική Ασφάλεια",1,11997.00,0.00,11997.00
Επείγοντα,2024,Τ20Μ,"Ιδιωτική Ασφάλεια",2,488.00,854.00,1342.00
Επείγοντα,2024,Υ08Χ,"Ιδιωτική Ασφάλεια",1,631.00,0.00,631.00
Επείγοντα,2024,Υ20Μα,ΕΦΚΑ,1,2934.00,0.00,2934.00
Επείγοντα,2024,Φ10Α,ΕΦΚΑ,1,1472.00,5888.00,7360.00
Επείγοντα,2024,Φ24Μ,Ανασφάλιστος,1,2785.00,2531.82,5316.82
Επείγοντα,2024,Φ62Μ,ΕΟΠΥΥ,1,1183.00,0.00,1183.00
Επείγοντα,2024,Ω13Α,ΕΦΚΑ,1,347.00,0.00,347.00
Επείγοντα,2025,S24Μ,ΕΦΚΑ,1,770.00,0.00,770.00
Επείγοντα,2025,Α32Α,ΕΟΠΥΥ,1,846.00,0.00,846.00
Επείγοντα,2025,Α33Μα,ΕΦΚΑ,1,2023.00,0.00,2023.00
Επείγοντα,2025,Α33Χ,ΕΦΚΑ,1,607.00,1416.33,2023.33
Επείγοντα,2025,Γ04Μ,ΕΦΚΑ,1,2062.00,2886.80,4948.80
Επείγοντα,2025,Ε09Α,ΕΦΚΑ,1,15346.00,1918.25,17264.25
Επείγοντα,2025,Ε09Γ,ΕΟΠΥΥ,1,10706.00,0.00,10706.00
Επείγοντα,2025,Ι20Α,ΕΦΚΑ,1,366.00,549.00,915.00
Επείγοντα,2025,Κ08Μ,"Ιδιωτική Ασφάλεια",1,8956.00,5037.75,13993.75
Επείγοντα,2025,Κ10Χ,ΕΦΚΑ,1,2724.00,4086.00,6810.00
Επείγοντα,2025,Κ43Χ,ΕΟΠΥΥ,1,397.00,0.00,397.00
Επείγοντα,2025,Μ02Χ,"Ιδιωτική Ασφάλεια",1,3430.00,0.00,3430.00
Επείγοντα,2025,Μ66Χ,"Ιδιωτική Ασφάλεια",1,652.00,0.00,652.00
Επείγοντα,2025,Ο04Α,"Ιδιωτική Ασφάλεια",1,1356.00,3616.00,4972.00
Επείγοντα,2025,Ο23Α,"Ιδιωτική Ασφάλεια",1,420.00,0.00,420.00
Επείγοντα,2025,Π05Μα,Ανασφάλιστος,1,3329.00,0.00,3329.00
Επείγοντα,2025,Τ20Χ,ΕΟΠΥΥ,1,512.00,0.00,512.00
Επείγοντα,2025,Τ26Μβ,ΕΟΠΥΥ,1,2346.00,1368.50,3714.50
Επείγοντα,2025,Υ23Μ,ΕΦΚΑ,1,1564.00,0.00,1564.00
Επείγοντα,2025,Φ22Χ,ΕΦΚΑ,1,827.00,2481.00,3308.00
Επείγοντα,2025,Χ45Α,ΕΟΠΥΥ,1,965.00,0.00,965.00
Επείγοντα,2026,Δ29Χ,"Ιδιωτική Ασφάλεια",1,1377.00,393.43,1770.43
Επείγοντα,2026,Ν27Μα,ΕΦΚΑ,1,2529.00,1167.23,3696.23
Επείγοντα,2026,Τ27Μα,"Ιδιωτική Ασφάλεια",1,3076.00,0.00,3076.00
Καρδιολογία,2024,W13Α,Ανασφάλιστος,1,685.00,0.00,685.00
Καρδιολογία,2024,Α02Μβ,Ανασφάλιστος,1,1595.00,0.00,1595.00
Καρδιολογία,2024,Α34Χ,ΕΦΚΑ,1,638.00,0.00,638.00
Καρδιολογία,2024,Α35Μα,Ανασφάλιστος,1,1556.00,0.00,1556.00
Καρδιολογία,2024,Β02Μ,Ανασφάλιστος,1,1719.00,0.00,1719.00
Καρδιολογία,2024,Β03Α,ΕΦΚΑ,1,771.00,0.00,771.00
Καρδιολογία,2024,Η08Χ,"Ιδιωτική Ασφάλεια",1,1273.00,0.00,1273.00
Καρδιολογία,2024,Η41Μ,Ανασφάλιστος,1,1930.00,0.00,1930.00
Καρδιολογία,2024,Θ06Μ,ΕΦΚΑ,1,2620.00,0.00,2620.00
Καρδιολογία,2024,Κ06Χ,Ανασφάλιστος,1,5077.00,0.00,5077.00
Καρδιολογία,2024,Κ08Μ,Ανασφάλιστος,1,8956.00,5037.75,13993.75
Καρδιολογία,2024,Κ08Μ,ΕΦΚΑ,1,8956.00,3918.25,12874.25
Καρδιολογία,2024,Κ42Χ,ΕΟΠΥΥ,1,934.00,186.80,1120.80
Καρδιολογία,2024,Κ45Μβ,ΕΦΚΑ,1,1019.00,0.00,1019.00
Καρδιολογία,2024,Λ01Χ,ΕΦΚΑ,1,1541.00,0.00,1541.00
Καρδιολογία,2024,Μ05Χ,"Ιδιωτική Ασφάλεια",1,6101.00,0.00,6101.00
Καρδιολογία,2024,Μ17Μ,ΕΟΠΥΥ,1,2708.00,0.00,2708.00
Καρδιολογία,2024,Μ19Χ,ΕΦΚΑ,1,1904.00,3808.00,5712.00
Καρδιολογία,2024,Μ64Χ,ΕΦΚΑ,1,1175.00,1175.00,2350.00
Καρδιολογία,2024,Ν03Χ,"Ιδιωτική Ασφάλεια",1,3990.00,0.00,3990.00
Καρδιολογία,2024,Ν21Χ,ΕΦΚΑ,1,1885.00,0.00,1885.00
Καρδιολογία,2024,Ν29Μ,"Ιδιωτική Ασφάλεια",1,1230.00,410.00,1640.00
Καρδιολογία,2024,Ν30Α,ΕΟΠΥΥ,1,420.00,0.00,420.00
Καρδιολογία,2024,Ν35Α,ΕΟΠΥΥ,1,350.00,1400.00,1750.00
Καρδιολογία,2024,Ξ20Χβ,Ανασφάλιστος,1,257.00,2313.00,2570.00
Καρδιολογία,2024,Ο20Χ,Ανασφάλιστος,1,1035.00,0.00,1035.00
Καρδιολογία,2024,Π04Χ,Ανασφάλιστος,1,1578.00,0.00,1578.00
Καρδιολογία,2024,Π44Μ,ΕΟΠΥΥ,1,1097.00,1974.60,3071.60
Καρδιολογία,2024,Π47Μ,ΕΦΚΑ,1,1121.00,896.80,2017.80
Καρδιολογία,2024,Ρ23Α,Ανασφάλιστος,1,428.00,0.00,428.00
Καρδιολογία,2024,Υ20Μβ,Ανασφάλιστος,1,1300.00,0.00,1300.00
Καρδιολογία,2024,Χ20Α,"Ιδιωτική Ασφάλεια",1,148.00,0.00,148.00
Καρδιολογία,2024,Χ44Α,ΕΟΠΥΥ,1,1152.00,0.00,1152.00
Καρδιολογία,2024,Ω30Χ,ΕΟΠΥΥ,1,545.00,1362.50,1907.50
Καρδιολογία,2025,Α10Μ,ΕΟΠΥΥ,1,6036.00,0.00,6036.00
Καρδιολογία,2025,Β02Χ,ΕΦΚΑ,1,1007.00,0.00,1007.00
Καρδιολογία,2025,Β02Χ,"Ιδιωτική Ασφάλεια",1,1007.00,3021.00,4028.00
Καρδιολογία,2025,Β03Α,ΕΟΠΥΥ,1,771.00,1542.00,2313.00
Καρδιολογία,2025,Γ20Χ,Ανασφάλιστος,1,755.00,0.00,755.00
Καρδιολογία,2025,Γ20Χ,"Ιδιωτική Ασφάλεια",1,755.00,0.00,755.00
Καρδιολογία,2025,Θ09Μ,ΕΟΠΥΥ,1,4895.00,0.00,4895.00
Καρδιολογία,2025,Κ14Μβ,ΕΦΚΑ,1,1991.00,0.00,1991.00
Καρδιολογία,2025,Λ04Μ,ΕΦΚΑ,1,1807.00,722.80,2529.80
Καρδιολογία,2025,Λ04Χ,"Ιδιωτική Ασφάλεια",1,571.00,0.00,571.00
Καρδιολογία,2025,Λ26Α,"Ιδιωτική Ασφάλεια",1,257.00,0.00,257.00
Καρδιολογία,2025,Μ20Α,ΕΟΠΥΥ,1,1286.00,0.00,1286.00
Καρδιολογία,2025,Μ25Χ,"Ιδιωτική Ασφάλεια",1,1260.00,0.00,1260.00
Καρδιολογία,2025,Μ29Α,Ανασφάλιστος,1,1903.00,0.00,1903.00
Καρδιολογία,2025,Μ71Χ,ΕΦΚΑ,1,405.00,0.00,405.00
Καρδιολογία,2025,Μ72Μ,Ανασφάλιστος,1,1681.00,747.11,2428.11
Καρδιολογία,2025,Μ77Χ,ΕΦΚΑ,1,1058.00,0.00,1058.00
Καρδιολογία,2025,Ν01Μ,"Ιδιωτική Ασφάλεια",2,5056.00,0.00,5056.00
Καρδιολογία,2025,Ν31Μ,"Ιδιωτική Ασφάλεια",1,1510.00,0.00,1510.00
Καρδιολογία,2025,Ξ20Χβ,ΕΦΚΑ,1,257.00,0.00,257.00
Καρδιολογία,2025,Ο04Α,ΕΦΚΑ,1,1356.00,3616.00,4972.00
Καρδιολογία,2025,Ο22Α,"Ιδιωτική Ασφάλεια",1,327.00,0.00,327.00
Καρδιολογία,2025,Τ05Α,ΕΟΠΥΥ,1,10357.00,3452.33,13809.33
Καρδιολογία,2025,Τ20Χ,Ανασφάλιστος,1,512.00,0.00,512.00
Καρδιολογία,2025,Υ03Μα,ΕΦΚΑ,1,6431.00,2572.40,9003.40
Καρδιολογία,2025,Υ20Μβ,Ανασφάλιστος,1,1300.00,0.00,1300.00
Καρδιολογία,2025,Φ26Χ,ΕΟΠΥΥ,1,828.00,0.00,828.00
Καρδιολογία,2025,Χ20Α,"Ιδιωτική Ασφάλεια",1,148.00,148.00,296.00
Καρδιολογία,2025,Ω13Α,ΕΦΚΑ,1,347.00,0.00,347.00
Καρδιολογία,2026,Α22Χ,Ανασφάλιστος,1,630.00,0.00,630.00
Καρδιολογία,2026,Ζ02Μ,ΕΦΚΑ,1,7225.00,0.00,7225.00
Καρδιολογία,2026,Κ42Χ,Ανασφάλιστος,1,934.00,0.00,934.00
Καρδιολογία,2026,Ν04Χ,Ανασφάλιστος,1,2470.00,0.00,2470.00
Καρδιολογία,2026,Ν31Μ,ΕΦΚΑ,1,1510.00,0.00,1510.00
Καρδιολογία,2026,Ν36Μ,"Ιδιωτική Ασφάλεια",1,1486.00,0.00,1486.00
Καρδιολογία,2026,Ο02Α,"Ιδιωτική Ασφάλεια",1,1611.00,0.00,1611.00
Καρδιολογία,2026,Φ27Μ,ΕΦΚΑ,1,3631.00,854.35,4485.35
Καρδιολογία,2026,Ω02Μβ,Ανασφάλιστος,1,2570.00,642.50,3212.50
ΜΕΘ,2024,S20Α,"Ιδιωτική Ασφάλεια",1,934.00,8406.00,9340.00
ΜΕΘ,2024,Α12Χ,ΕΟΠΥΥ,1,1798.00,513.71,2311.71
ΜΕΘ,2024,Β02Μ,Ανασφάλιστος,1,1719.00,0.00,1719.00
ΜΕΘ,2024,Δ09Α,"Ιδιωτική Ασφάλεια",1,688.00,0.00,688.00
ΜΕΘ,2024,Ζ21Α,ΕΟΠΥΥ,1,848.00,0.00,848.00
ΜΕΘ,2024,Ι23Α,Ανασφάλιστος,1,576.00,691.20,1267.20
ΜΕΘ,2024,Κ17Μ,ΕΦΚΑ,1,2892.00,0.00,2892.00
ΜΕΘ,2024,Κ34Χ,ΕΟΠΥΥ,1,981.00,0.00,981.00
ΜΕΘ,2024,Κ41Χ,"Ιδιωτική Ασφάλεια",1,2397.00,0.00,2397.00
ΜΕΘ,2024,Μ18Α,Ανασφάλιστος,1,743.00,743.00,1486.00
ΜΕΘ,2024,Μ19Χ,"Ιδιωτική Ασφάλεια",1,1904.00,4760.00,6664.00
ΜΕΘ,2024,Μ23Α,ΕΦΚΑ,1,661.00,0.00,661.00
ΜΕΘ,2024,Μ29Α,ΕΟΠΥΥ,1,1903.00,0.00,1903.00
