Shift_Date,Shift_Type,Department_Name,Staff_Type,Subcategory,Num_Staff
2026-03-01,Απογευματινή,Οφθαλμολογία,Ιατρός,Πνευμονολογία,2
2026-03-01,Απογευματινή,Οφθαλμολογία,Νοσηλευτής,"Βοηθός Νοσηλευτή",1
2026-03-01,Απογευματινή,Οφθαλμολογία,Νοσηλευτής,Νοσηλευτής,4
2026-03-01,Απογευματινή,Οφθαλμολογία,Νοσηλευτής,Προϊστάμενος,1
2026-03-01,Απογευματινή,Παθολογία,Διοικητικός,"Ανθρώπινο Δυναμικό",1
2026-03-01,Απογευματινή,Παθολογία,Διοικητικός,Λογιστής,1
2026-03-01,Απογευματινή,Παθολογία,Ιατρός,Ουρολογία,1
2026-03-01,Απογευματινή,Παθολογία,Ιατρός,Οφθαλμολογία,1
2026-03-01,Απογευματινή,Παθολογία,Ιατρός,Χειρουργική,1
2026-03-01,Απογευματινή,Παθολογία,Νοσηλευτής,Νοσηλευτής,5
2026-03-01,Απογευματινή,Παθολογία,Νοσηλευτής,Προϊστάμενος,1
2026-03-01,Απογευματινή,Πνευμονολογία,Διοικητικός,"Ανθρώπινο Δυναμικό",1
2026-03-01,Απογευματινή,Πνευμονολογία,Διοικητικός,Λογιστής,1
2026-03-01,Απογευματινή,Πνευμονολογία,Ιατρός,Ουρολογία,1
2026-03-01,Απογευματινή,Πνευμονολογία,Ιατρός,Οφθαλμολογία,1
2026-03-01,Απογευματινή,Πνευμονολογία,Ιατρός,Χειρουργική,1
2026-03-01,Απογευματινή,Πνευμονολογία,Νοσηλευτής,Νοσηλευτής,5
2026-03-01,Απογευματινή,Πνευμονολογία,Νοσηλευτής,Προϊστάμενος,1
2026-03-01,Απογευματινή,Χειρουργική,Διοικητικός,Λογιστής,2
2026-03-01,Απογευματινή,Χειρουργική,Ιατρός,Αιματολογία,1
2026-03-01,Απογευματινή,Χειρουργική,Ιατρός,Νευρολογία,1
2026-03-01,Απογευματινή,Χειρουργική,Ιατρός,Ογκολογία,1
2026-03-01,Απογευματινή,Χειρουργική,Νοσηλευτής,Νοσηλευτής,6
2026-03-01,Απογευματινή,ΩΡΛ,Διοικητικός,"Ανθρώπινο Δυναμικό",1
2026-03-01,Απογευματινή,ΩΡΛ,Διοικητικός,Λογιστής,1
2026-03-01,Απογευματινή,ΩΡΛ,Ιατρός,Αιματολογία,1
2026-03-01,Απογευματινή,ΩΡΛ,Ιατρός,Εντατικολογία,1
2026-03-01,Απογευματινή,ΩΡΛ,Ιατρός,Χειρουργική,1
2026-03-01,Απογευματινή,ΩΡΛ,Νοσηλευτής,"Βοηθός Νοσηλευτή",1
2026-03-01,Απογευματινή,ΩΡΛ,Νοσηλευτής,Νοσηλευτής,5
2026-03-01,Νυχτερινή,Αιματολογία,Διοικητικός,"Ανθρώπινο Δυναμικό",1
2026-03-01,Νυχτερινή,Αιματολογία,Διοικητικός,Γραμματέας,1
2026-03-01,Νυχτερινή,Αιματολογία,Ιατρός,Αιματολογία,1
2026-03-01,Νυχτερινή,Αιματολογία,Ιατρός,Γαστρεντερολογία,1
2026-03-01,Νυχτερινή,Αιματολογία,Ιατρός,Νεφρολογία,1
2026-03-01,Νυχτερινή,Αιματολογία,Νοσηλευτής,"Βοηθός Νοσηλευτή",2
2026-03-01,Νυχτερινή,Αιματολογία,Νοσηλευτής,Νοσηλευτής,3
2026-03-01,Νυχτερινή,Αιματολογία,Νοσηλευτής,Προϊστάμενος,1
2026-03-01,Νυχτερινή,Γαστρεντερολογία,Διοικητικός,Γραμματέας,1
2026-03-01,Νυχτερινή,Γαστρεντερολογία,Διοικητικός,Λογιστής,1
2026-03-01,Νυχτερινή,Γαστρεντερολογία,Ιατρός,Καρδιολογία,1
2026-03-01,Νυχτερινή,Γαστρεντερολογία,Ιατρός,Παθολογία,1
2026-03-01,Νυχτερινή,Γαστρεντερολογία,Ιατρός,Χειρουργική,1
2026-03-01,Νυχτερινή,Γαστρεντερολογία,Νοσηλευτής,"Βοηθός Νοσηλευτή",1
2026-03-01,Νυχτερινή,Γαστρεντερολογία,Νοσηλευτής,Νοσηλευτής,5
2026-03-01,Νυχτερινή,Επείγοντα,Διοικητικός,"Ανθρώπινο Δυναμικό",1
2026-03-01,Νυχτερινή,Επείγοντα,Διοικητικός,Γραμματέας,1
2026-03-01,Νυχτερινή,Επείγοντα,Ιατρός,Αιματολογία,1
2026-03-01,Νυχτερινή,Επείγοντα,Ιατρός,Γαστρεντερολογία,1
2026-03-01,Νυχτερινή,Επείγοντα,Ιατρός,Νεφρολογία,1
2026-03-01,Νυχτερινή,Επείγοντα,Νοσηλευτής,"Βοηθός Νοσηλευτή",1
2026-03-01,Νυχτερινή,Επείγοντα,Νοσηλευτής,Νοσηλευτής,4
2026-03-01,Νυχτερινή,Επείγοντα,Νοσηλευτής,Προϊστάμενος,1
2026-03-01,Νυχτερινή,Καρδιολογία,Διοικητικός,Γραμματέας,2
2026-03-01,Νυχτερινή,Καρδιολογία,Ιατρός,Εντατικολογία,1
2026-03-01,Νυχτερινή,Καρδιολογία,Ιατρός,Πνευμονολογία,1
2026-03-01,Νυχτερινή,Καρδιολογία,Ιατρός,Ωτορινολαρυγγολογία,1
2026-03-01,Νυχτερινή,Καρδιολογία,Νοσηλευτής,"Βοηθός Νοσηλευτή",2
2026-03-01,Νυχτερινή,Καρδιολογία,Νοσηλευτής,Νοσηλευτής,4
2026-03-01,Νυχτερινή,ΜΕΘ,Διοικητικός,Λογιστής,2
2026-03-01,Νυχτερινή,ΜΕΘ,Ιατρός,Ορθοπεδική,1
2026-03-01,Νυχτερινή,ΜΕΘ,Ιατρός,Ουρολογία,1
2026-03-01,Νυχτερινή,ΜΕΘ,Ιατρός,Οφθαλμολογία,1
2026-03-01,Νυχτερινή,ΜΕΘ,Νοσηλευτής,"Βοηθός Νοσηλευτή",1
2026-03-01,Νυχτερινή,ΜΕΘ,Νοσηλευτής,Νοσηλευτής,5
2026-03-01,Νυχτερινή,Νευρολογία,Διοικητικός,"Ανθρώπινο Δυναμικό",1
2026-03-01,Νυχτερινή,Νευρολογία,Διοικητικός,Γραμματέας,1
2026-03-01,Νυχτερινή,Νευρολογία,Ιατρός,"Επείγουσα Ιατρική",1
2026-03-01,Νυχτερινή,Νευρολογία,Ιατρός,Νευρολογία,1
2026-03-01,Νυχτερινή,Νευρολογία,Ιατρός,Ογκολογία,1
2026-03-01,Νυχτερινή,Νευρολογία,Νοσηλευτής,"Βοηθός Νοσηλευτή",1
2026-03-01,Νυχτερινή,Νευρολογία,Νοσηλευτής,Νοσηλευτής,4
2026-03-01,Νυχτερινή,Νευρολογία,Νοσηλευτής,Προϊστάμενος,1
2026-03-01,Νυχτερινή,Νεφρολογία,Διοικητικός,"Ανθρώπινο Δυναμικό",1
2026-03-01,Νυχτερινή,Νεφρολογία,Διοικητικός,Γραμματέας,1
2026-03-01,Νυχτερινή,Νεφρολογία,Ιατρός,Ορθοπεδική,1
2026-03-01,Νυχτερινή,Νεφρολογία,Ιατρός,Ουρολογία,1
2026-03-01,Νυχτερινή,Νεφρολογία,Ιατρός,Οφθαλμολογία,1
2026-03-01,Νυχτερινή,Νεφρολογία,Νοσηλευτής,"Βοηθός Νοσηλευτή",3
2026-03-01,Νυχτερινή,Νεφρολογία,Νοσηλευτής,Νοσηλευτής,3
2026-03-01,Νυχτερινή,Ογκολογία,Διοικητικός,Γραμματέας,2
2026-03-01,Νυχτερινή,Ογκολογία,Ιατρός,"Επείγουσα Ιατρική",1
2026-03-01,Νυχτερινή,Ογκολογία,Ιατρός,Νευρολογία,1
2026-03-01,Νυχτερινή,Ογκολογία,Ιατρός,Ογκολογία,1
2026-03-01,Νυχτερινή,Ογκολογία,Νοσηλευτής,"Βοηθός Νοσηλευτή",1
2026-03-01,Νυχτερινή,Ογκολογία,Νοσηλευτής,Νοσηλευτής,5
2026-03-01,Νυχτερινή,Ορθοπεδική,Διοικητικός,"Ανθρώπινο Δυναμικό",1
2026-03-01,Νυχτερινή,Ορθοπεδική,Διοικητικός,Λογιστής,1
2026-03-01,Νυχτερινή,Ορθοπεδική,Ιατρός,Καρδιολογία,1
2026-03-01,Νυχτερινή,Ορθοπεδική,Ιατρός,Παθολογία,1
2026-03-01,Νυχτερινή,Ορθοπεδική,Ιατρός,Χειρουργική,1
2026-03-01,Νυχτερινή,Ορθοπεδική,Νοσηλευτής,"Βοηθός Νοσηλευτή",1
2026-03-01,Νυχτερινή,Ορθοπεδική,Νοσηλευτής,Νοσηλευτής,4
2026-03-01,Νυχτερινή,Ορθοπεδική,Νοσηλευτής,Προϊστάμενος,1
2026-03-01,Νυχτερινή,Ουρολογία,Διοικητικός,"Ανθρώπινο Δυναμικό",1
2026-03-01,Νυχτερινή,Ουρολογία,Διοικητικός,Γραμματέας,1
2026-03-01,Νυχτερινή,Ουρολογία,Ιατρός,Ορθοπεδική,1
2026-03-01,Νυχτερινή,Ουρολογία,Ιατρός,Ουρολογία,1
2026-03-01,Νυχτερινή,Ουρολογία,Ιατρός,Οφθαλμολογία,1
2026-03-01,Νυχτερινή,Ουρολογία,Νοσηλευτής,"Βοηθός Νοσηλευτή",2
2026-03-01,Νυχτερινή,Ουρολογία,Νοσηλευτής,Νοσηλευτής,4
2026-03-01,Νυχτερινή,Οφθαλμολογία,Διοικητικός,Γραμματέας,1
2026-03-01,Νυχτερινή,Οφθαλμολογία,Διοικητικός,Λογιστής,1
2026-03-01,Νυχτερινή,Οφθαλμολογία,Ιατρός,Αιματολογία,1
2026-03-01,Νυχτερινή,Οφθαλμολογία,Ιατρός,Γαστρεντερολογία,1
2026-03-01,Νυχτερινή,Οφθαλμολογία,Ιατρός,Νεφρολογία,1
2026-03-01,Νυχτερινή,Οφθαλμολογία,Νοσηλευτής,Νοσηλευτής,6
2026-03-01,Νυχτερινή,Παθολογία,Διοικητικός,"Ανθρώπινο Δυναμικό",1
2026-03-01,Νυχτερινή,Παθολογία,Διοικητικός,Λογιστής,1
2026-03-01,Νυχτερινή,Παθολογία,Ιατρός,Εντατικολογία,1
2026-03-01,Νυχτερινή,Παθολογία,Ιατρός,Πνευμονολογία,1
2026-03-01,Νυχτερινή,Παθολογία,Ιατρός,Ωτορινολαρυγγολογία,1
2026-03-01,Νυχτερινή,Παθολογία,Νοσηλευτής,Νοσηλευτής,6
2026-03-01,Νυχτερινή,Πνευμονολογία,Διοικητικός,"Ανθρώπινο Δυναμικό",1
2026-03-01,Νυχτερινή,Πνευμονολογία,Διοικητικός,Γραμματέας,1
2026-03-01,Νυχτερινή,Πνευμονολογία,Ιατρός,Εντατικολογία,1
2026-03-01,Νυχτερινή,Πνευμονολογία,Ιατρός,Πνευμονολογία,1
2026-03-01,Νυχτερινή,Πνευμονολογία,Ιατρός,Ωτορινολαρυγγολογία,1
2026-03-01,Νυχτερινή,Πνευμονολογία,Νοσηλευτής,Νοσηλευτής,6
2026-03-01,Νυχτερινή,Χειρουργική,Διοικητικός,Γραμματέας,2
2026-03-01,Νυχτερινή,Χειρουργική,Ιατρός,Καρδιολογία,1
2026-03-01,Νυχτερινή,Χειρουργική,Ιατρός,Παθολογία,1
2026-03-01,Νυχτερινή,Χειρουργική,Ιατρός,Χειρουργική,1
2026-03-01,Νυχτερινή,Χειρουργική,Νοσηλευτής,Νοσηλευτής,5
2026-03-01,Νυχτερινή,Χειρουργική,Νοσηλευτής,Προϊστάμενος,1
2026-03-01,Νυχτερινή,ΩΡΛ,Διοικητικός,"Ανθρώπινο Δυναμικό",1
2026-03-01,Νυχτερινή,ΩΡΛ,Διοικητικός,Γραμματέας,1
2026-03-01,Νυχτερινή,ΩΡΛ,Ιατρός,"Επείγουσα Ιατρική",1
2026-03-01,Νυχτερινή,ΩΡΛ,Ιατρός,Νευρολογία,1
2026-03-01,Νυχτερινή,ΩΡΛ,Ιατρός,Ογκολογία,1
2026-03-01,Νυχτερινή,ΩΡΛ,Νοσηλευτής,"Βοηθός Νοσηλευτή",2
2026-03-01,Νυχτερινή,ΩΡΛ,Νοσηλευτής,Νοσηλευτής,2
2026-03-01,Νυχτερινή,ΩΡΛ,Νοσηλευτής,Προϊστάμενος,2
2026-03-01,Πρωινή,Αιματολογία,Διοικητικός,"Ανθρώπινο Δυναμικό",1
2026-03-01,Πρωινή,Αιματολογία,Διοικητικός,Γραμματέας,1
2026-03-01,Πρωινή,Αιματολογία,Ιατρός,Οφθαλμολογία,1
2026-03-01,Πρωινή,Αιματολογία,Ιατρός,Ωτορινολαρυγγολογία,2
2026-03-01,Πρωινή,Αιματολογία,Νοσηλευτής,"Βοηθός Νοσηλευτή",3
2026-03-01,Πρωινή,Αιματολογία,Νοσηλευτής,Νοσηλευτής,3
2026-03-01,Πρωινή,Γαστρεντερολογία,Διοικητικός,"Ανθρώπινο Δυναμικό",1
2026-03-01,Πρωινή,Γαστρεντερολογία,Διοικητικός,Λογιστής,1
2026-03-01,Πρωινή,Γαστρεντερολογία,Ιατρός,Γαστρεντερολογία,1
2026-03-01,Πρωινή,Γαστρεντερολογία,Ιατρός,"Επείγουσα Ιατρική",1
2026-03-01,Πρωινή,Γαστρεντερολογία,Ιατρός,Νεφρολογία,1
2026-03-01,Πρωινή,Γαστρεντερολογία,Νοσηλευτής,"Βοηθός Νοσηλευτή",2
2026-03-01,Πρωινή,Γαστρεντερολογία,Νοσηλευτής,Νοσηλευτής,3
2026-03-01,Πρωινή,Γαστρεντερολογία,Νοσηλευτής,Προϊστάμενος,1
2026-03-01,Πρωινή,Επείγοντα,Διοικητικός,"Ανθρώπινο Δυναμικό",1
2026-03-01,Πρωινή,Επείγοντα,Διοικητικός,Λογιστής,1
2026-03-01,Πρωινή,Επείγοντα,Ιατρός,Οφθαλμολογία,1
2026-03-01,Πρωινή,Επείγοντα,Ιατρός,Ωτορινολαρυγγολογία,2
2026-03-01,Πρωινή,Επείγοντα,Νοσηλευτής,"Βοηθός Νοσηλευτή",1
2026-03-01,Πρωινή,Επείγοντα,Νοσηλευτής,Νοσηλευτής,5
2026-03-01,Πρωινή,Καρδιολογία,Διοικητικός,Γραμματέας,1
2026-03-01,Πρωινή,Καρδιολογία,Διοικητικός,Λογιστής,1
2026-03-01,Πρωινή,Καρδιολογία,Ιατρός,Καρδιολογία,1
2026-03-01,Πρωινή,Καρδιολογία,Ιατρός,Ορθοπεδική,1
2026-03-01,Πρωινή,Καρδιολογία,Ιατρός,Παθολογία,1
2026-03-01,Πρωινή,Καρδιολογία,Νοσηλευτής,"Βοηθός Νοσηλευτή",1
2026-03-01,Πρωινή,Καρδιολογία,Νοσηλευτής,Νοσηλευτής,5
2026-03-01,Πρωινή,ΜΕΘ,Διοικητικός,"Ανθρώπινο Δυναμικό",1
2026-03-01,Πρωινή,ΜΕΘ,Διοικητικός,Λογιστής,1
2026-03-01,Πρωινή,ΜΕΘ,Ιατρός,Εντατικολογία,1
2026-03-01,Πρωινή,ΜΕΘ,Ιατρός,"Επείγουσα Ιατρική",1
2026-03-01,Πρωινή,ΜΕΘ,Ιατρός,Ορθοπεδική,1
2026-03-01,Πρωινή,ΜΕΘ,Νοσηλευτής,"Βοηθός Νοσηλευτή",3
2026-03-01,Πρωινή,ΜΕΘ,Νοσηλευτής,Νοσηλευτής,3
2026-03-01,Πρωινή,Νευρολογία,Διοικητικός,Γραμματέας,1
2026-03-01,Πρωινή,Νευρολογία,Διοικητικός,Λογιστής,1
2026-03-01,Πρωινή,Νευρολογία,Ιατρός,Καρδιολογία,1
2026-03-01,Πρωινή,Νευρολογία,Ιατρός,Νεφρολογία,1
2026-03-01,Πρωινή,Νευρολογία,Ιατρός,Ογκολογία,1
2026-03-01,Πρωινή,Νευρολογία,Νοσηλευτής,"Βοηθός Νοσηλευτή",2
2026-03-01,Πρωινή,Νευρολογία,Νοσηλευτής,Νοσηλευτής,4
2026-03-01,Πρωινή,Νεφρολογία,Διοικητικός,Λογιστής,2
2026-03-01,Πρωινή,Νεφρολογία,Ιατρός,Εντατικολογία,1
2026-03-01,Πρωινή,Νεφρολογία,Ιατρός,"Επείγουσα Ιατρική",1
2026-03-01,Πρωινή,Νεφρολογία,Ιατρός,Ορθοπεδική,1
2026-03-01,Πρωινή,Νεφρολογία,Νοσηλευτής,"Βοηθός Νοσηλευτή",3
2026-03-01,Πρωινή,Νεφρολογία,Νοσηλευτής,Νοσηλευτής,3
2026-03-01,Πρωινή,Ογκολογία,Διοικητικός,Γραμματέας,1
2026-03-01,Πρωινή,Ογκολογία,Διοικητικός,Λογιστής,1
2026-03-01,Πρωινή,Ογκολογία,Ιατρός,Καρδιολογία,1
2026-03-01,Πρωινή,Ογκολογία,Ιατρός,Νεφρολογία,1
2026-03-01,Πρωινή,Ογκολογία,Ιατρός,Ογκολογία,1
2026-03-01,Πρωινή,Ογκολογία,Νοσηλευτής,Νοσηλευτής,5
2026-03-01,Πρωινή,Ογκολογία,Νοσηλευτής,Προϊστάμενος,1
2026-03-01,Πρωινή,Ορθοπεδική,Διοικητικός,"Ανθρώπινο Δυναμικό",2
2026-03-01,Πρωινή,Ορθοπεδική,Ιατρός,Γαστρεντερολογία,1
2026-03-01,Πρωινή,Ορθοπεδική,Ιατρός,"Επείγουσα Ιατρική",1
2026-03-01,Πρωινή,Ορθοπεδική,Ιατρός,Νεφρολογία,1
2026-03-01,Πρωινή,Ορθοπεδική,Νοσηλευτής,"Βοηθός Νοσηλευτή",3
2026-03-01,Πρωινή,Ορθοπεδική,Νοσηλευτής,Νοσηλευτής,3
2026-03-01,Πρωινή,Ουρολογία,Διοικητικός,Γραμματέας,1
2026-03-01,Πρωινή,Ουρολογία,Διοικητικός,Λογιστής,1
2026-03-01,Πρωινή,Ουρολογία,Ιατρός,Εντατικολογία,1
2026-03-01,Πρωινή,Ουρολογία,Ιατρός,"Επείγουσα Ιατρική",1
2026-03-01,Πρωινή,Ουρολογία,Ιατρός,Ορθοπεδική,1
2026-03-01,Πρωινή,Ουρολογία,Νοσηλευτής,"Βοηθός Νοσηλευτή",3
2026-03-01,Πρωινή,Ουρολογία,Νοσηλευτής,Νοσηλευτής,1
2026-03-01,Πρωινή,Ουρολογία,Νοσηλευτής,Προϊστάμενος,2
2026-03-01,Πρωινή,Οφθαλμολογία,Διοικητικός,Γραμματέας,1
2026-03-01,Πρωινή,Οφθαλμολογία,Διοικητικός,Λογιστής,1
2026-03-01,Πρωινή,Οφθαλμολογία,Ιατρός,Οφθαλμολογία,1
2026-03-01,Πρωινή,Οφθαλμολογία,Ιατρός,Ωτορινολαρυγγολογία,2
2026-03-01,Πρωινή,Οφθαλμολογία,Νοσηλευτής,"Βοηθός Νοσηλευτή",2
2026-03-01,Πρωινή,Οφθαλμολογία,Νοσηλευτής,Νοσηλευτής,2
2026-03-01,Πρωινή,Οφθαλμολογία,Νοσηλευτής,Προϊστάμενος,2
2026-03-01,Πρωινή,Παθολογία,Διοικητικός,"Ανθρώπινο Δυναμικό",1
2026-03-01,Πρωινή,Παθολογία,Διοικητικός,Λογιστής,1
2026-03-01,Πρωινή,Παθολογία,Ιατρός,Καρδιολογία,1
2026-03-01,Πρωινή,Παθολογία,Ιατρός,Ορθοπεδική,1
2026-03-01,Πρωινή,Παθολογία,Ιατρός,Παθολογία,1
2026-03-01,Πρωινή,Παθολογία,Νοσηλευτής,"Βοηθός Νοσηλευτή",1
2026-03-01,Πρωινή,Παθολογία,Νοσηλευτής,Νοσηλευτής,5
2026-03-01,Πρωινή,Πνευμονολογία,Διοικητικός,Γραμματέας,1
2026-03-01,Πρωινή,Πνευμονολογία,Διοικητικός,Λογιστής,1
2026-03-01,Πρωινή,Πνευμονολογία,Ιατρός,Καρδιολογία,1
2026-03-01,Πρωινή,Πνευμονολογία,Ιατρός,Ορθοπεδική,1
2026-03-01,Πρωινή,Πνευμονολογία,Ιατρός,Παθολογία,1
2026-03-01,Πρωινή,Πνευμονολογία,Νοσηλευτής,Νοσηλευτής,6
2026-03-01,Πρωινή,Χειρουργική,Διοικητικός,"Ανθρώπινο Δυναμικό",1
2026-03-01,Πρωινή,Χειρουργική,Διοικητικός,Γραμματέας,1
2026-03-01,Πρωινή,Χειρουργική,Ιατρός,Γαστρεντερολογία,1
2026-03-01,Πρωινή,Χειρουργική,Ιατρός,"Επείγουσα Ιατρική",1
2026-03-01,Πρωινή,Χειρουργική,Ιατρός,Νεφρολογία,1
2026-03-01,Πρωινή,Χειρουργική,Νοσηλευτής,Νοσηλευτής,4
2026-03-01,Πρωινή,Χειρουργική,Νοσηλευτής,Προϊστάμενος,2
2026-03-01,Πρωινή,ΩΡΛ,Διοικητικός,Γραμματέας,2
2026-03-01,Πρωινή,ΩΡΛ,Ιατρός,Καρδιολογία,1
2026-03-01,Πρωινή,ΩΡΛ,Ιατρός,Νεφρολογία,1
2026-03-01,Πρωινή,ΩΡΛ,Ιατρός,Ογκολογία,1
2026-03-01,Πρωινή,ΩΡΛ,Νοσηλευτής,"Βοηθός Νοσηλευτή",2
2026-03-01,Πρωινή,ΩΡΛ,Νοσηλευτής,Νοσηλευτής,4
2026-03-02,Απογευματινή,Αιματολογία,Διοικητικός,"Ανθρώπινο Δυναμικό",1
2026-03-02,Απογευματινή,Αιματολογία,Διοικητικός,Λογιστής,1
2026-03-02,Απογευματινή,Αιματολογία,Ιατρός,Γαστρεντερολογία,1
2026-03-02,Απογευματινή,Αιματολογία,Ιατρός,Πνευμονολογία,2
2026-03-02,Απογευματινή,Αιματολογία,Νοσηλευτής,"Βοηθός Νοσηλευτή",1
