Substance_Name,Allergy_Count,Medicine_Count
"Coffea Arabica Trit. D6",1,1
"Hydrastis Canadensis D2",1,2
"Technetium (99mtc) Succimer",1,1
"Extraction Solvent: Purified Water",1,2
"Sodium Lauryl Ether Sulpho-Succinate",1,3
Darunavir,1,112
"Bearberry Extract",1,1
"Cortisone Acetate",1,2
"Sorbic Acid",1,17
"Thuja Occidentalis Dil D1",1,3
Rolitetracycline,1,1
"Codeine Phosphate Bp",1,11
"Extracting Solvent: Ethanol 30 % (V/V)",1,26
"Sennoside B",1,8
Capreomycin,1,1
"Extraction Solvent: Ethanol 70%",1,4
"Hyoscyamus Niger Dil. D4",1,2
Prasterone,1,10
"Extraction Solvent: Ethanol 85% (M/M)",1,1
"Aurum Metallicum Dil. D12",1,6
"Enoxaparin Sodium",1,217
"Ethanol. Extr. (1:2)",1,1
Ranitidine,0,52
Arnica,0,15
"Planta Tota Dil. D20",0,1
"Planta Tota Rh Dil. D20",0,1
"Planta Tota Rh Dil. D3",0,3
"Levisticum Officinale Rh Dil. D3",0,2
"Apis Mellifica 42b Dil. D2 Aquos.",0,1
"Levisticum Officinale Rh Dil. D6",0,2
"Arnica Montana",0,10
"Planta Tota Rec.",0,8
"Ethanol. Extr. 1:1",0,8
1,0,19
Calendula,0,1
"Arnica Ad Usum Externum",0,1
"Arnica Montana Planta Tota Rec.",0,1
"Naloxone Hydrochloride Dihydrate",0,116
"Tincture From Arnica Montana",0,1
"Extraction Solvent: Ethanol 61% V/V",0,1
"Cuprum Metallicum Praeparatum",0,2
"Rosemary Oil",0,25
"Arnicae Flos / Betulae Folium / Calendula Herba (3:4:1)",0,2
Formica,0,1
"Glycerol. Extr. 1:3",0,1
"Strychnos Nux-Vomica",0,3
"China Rubra D3",0,9
"Ruta Graveolens D8",0,4
"Belladonna D4",0,8
"Arnica Montana Dil. D3",0,7
"Arnica Tincture",0,5
"Liquid Extract Of Arnica Flower/Birch Leaf (1:1) (Der 1:10.94)",0,1
"Extraction Solvent: Ethanol/Sunflower Oil (2.3/97.7)",0,1
"Arnica Montana Mother Tincture",0,22
"Arnica Montana Dil. D20",0,2
"Arnica Montana D6",0,15
"Arnica Montana E Floribus W 5% (Hab",0,3
"Kalium Chloratum Dil. D3",0,1
"Mercurius Bijodatus Dil. D8",0,3
"Arnica Montana Ex Planta Tota Ø",0,5
"Planta Tota 2b Ø",0,3
"Planta Tota Rh Dil. D10",0,1
"Cor Bovis Dil. D10",0,1
"Planta Tota Dil. D3",0,3
"Arnica Montana E Planta Tota Ferm 33c Dil. D5 (Hab",0,7
"Aurum Metallicum Dil. D9",0,22
"Arnica Montana E Planta Tota Ferm 33c Dil. D19 (Hab",0,10
"Aurum Metallicum Dil. D29 Aquos.",0,3
"Arnica Montana E Planta Tota Ferm 33c Dil. D28 (Hab",0,4
"Betula Pendula E Cortice",0,11
"Decoctum Ø (Hab",0,3
"Decoctum Dil. D3 (Hab",0,4
"Arnica Montana E Planta Tota Ferm 33c Dil. D29 (Hab",0,2
"Plumbum Mellitum Dil. D29 Aquos. (Hab",0,2
"Vs. 6)",0,19
"Liquid Extract Of Arnica Flower (Der 1:20)",0,1
"Extraction Solvent: Ethanol 58% (V/V)",0,2
"Tincture From Arnica Montana Flower (Der 1:5)",0,1
"Extraction Solvent: Ethanol 60%",0,8
"Arnica Montana Dil. D12",0,1
"Arnica Montana Dil. D30",0,3
"Arnica Montana Dil. D200",0,1
"Arnica Montana C9",0,6
"Liquid Extract From Fresh Arnica Flower",0,3
"Extraction Solvent: Ethanol 58% V/V",0,12
"Liquid Extract From Arnica Chamissonis Flower (Der 1:1)",0,1
"Extraction Solvent: Ethanol 60% (V/V)",0,36
"Arnica Montana E Floribus La 20% (Hab",0,5
"Arnica Montana E Planta Tota Ferm 33c Ø (Hab",0,1
"Formica Rufa Ex Animale Toto Gl Ø (Hab",0,1
"Arnica Flower Tincture (1:10) Extracting Solvent: Ethanol 70 % (V/V)",0,23
"Arnica Tincture Dev (1:10): Extraction Medium Ethanol 70% (V/V)",0,4
"Extract From Arnica Chamissonis",0,1
"Extraction Solvents: Ethanol And Paraffin",0,4
"White Soft",0,4
"Bryonia C5",0,4
"Rhus Toxicodendron C15",0,3
"Juniper Oil",0,2
Exemestane,0,168
"Cinnamon Bark Oil",0,2
Ceylon,0,2
"Mint Oil",0,23
"Eucalyptus Oil",0,156
Rrr-Alpha-Tocopherol,0,12
"Sapropterin Dihydrochloride",0,48
Arpraziquantel,0,1
"Sumbulus Moschatus (Hab 34) Dil. D2 [hab",0,1
"V. 4a",0,1
"Ø Mit Ethanol 62% (M/M)]",0,1
"Oleander Dil. D3",0,2
"Arsenic Trioxide",0,48
"Acidum Arsenicosum Dil. D1000",0,3
"Acidum Arsenicosum Dil. D200",0,2
"Natrium Sulfuricum Dil. D 6",0,1
"Carbo Vegetabilis Dil. D 12",0,4
"Eriodictyon Californicum Dil. D12",0,1
Melarsoprol,0,1
Diacerein,0,16
"Micronised Purified Flavonoic Fraction",0,46
"Consisting Of 90% Diosmin And 10% Flavonoids Expressed As Hesperidin",0,21
"Acetic Acid 80% Pure",0,2
"Tincture (1:5) From Wormwood Herb And Tansy Herb With Acetic Acid 80%",0,1
"Harpagophytum Procumbens Mother Tincture",0,3
"Carteolol Hydrochloride",0,30
"Noradrenaline Hydrochloride",0,1
"Arteria Suis Dil. D30",0,1
"Arteria Suis Dil. D200",0,1
"Arteria Suis D10",0,1
"Glucosamine Sulfate Sodium Chloride",0,79
"Ferrum Phosphoricum Dil. D8",0,8
"Lithium Carbonicum Dil. D4",0,1
"Berberis Dil. D3",0,1
"Filipendula Ulmaria Dil. D4",0,2
"Solanum Dulcamara Dil. D6",0,1
"Bryonia Dil. D4",0,12
Sulindac,0,2
"Bellis Perennis D2",0,22
"Echinacea D2",0,16
"Hypericum Perforatum D2",0,20
"Mercurius Solubilis Hahnemanni D6",0,19
"Berberis Vulgaris Trit. D 3",0,2
"Ledum Palustre Trit. D 3",0,1
"Formica Dil. D4",0,1
"Colchicum D4",0,3
"Ledum Dil D2",0,4
"Thuja Dil D1",0,4
"Formica Rufa Dil. D4",0,2
"Colchicum Autumnale Dil. 4",0,2
"Berberis Vulgaris Dil. D12",0,2
"Ledum Palustre Dil. D12",0,1
"Colchicum Autumnale Dil. D12",0,2
"Colchicum Autumnale D12",0,1
"Ledum Palustre D12",0,1
"Naproxen Bp",0,9
"Devil's Claw Root Dry Extract (1",0,1
5-2:1),0,1
"Extraction Liquid: Ethanol 40 % V/V",0,1
"Crystalline Glucosamine Sulfate",0,10
Glucosamine,0,5
"Perindopril Tosilate",0,46
"Dry Extract Of Fresh Artichoke Leaf (1:30-31)",0,5
"Extraction Solvent: Ethanol 65% V/V",0,27
"Dry Extract Of Milk Thistle Fruit (1:2.0-2.1)",0,4
Hydroxocobalamin,0,29
"Articulatio Coxae Bovis Gl Dil. D5 (Hab",0,1
"Vs. 41b)",0,23
"Articulatio Genus Bovis Gl Dil. D5 (Hab",0,1
"Allium Cepa Ferm 34a Dil. D2",0,2
"Arnica Montana E Planta Tota Ferm 33c Dil. D4 (Hab",0,2
"Articulatio Subtalaris Bovis Gl Dil. D8 (Hab",0,2
"Meglumine Gadoterate",0,4
"Dipotassium Phosphate",0,68
"Cynara Scolymus Leaf Powder",0,1
"Artichoke Leaf Dry Extract (5.8-7.5:1)",0,2
"Dry Extract Of Milk Thistle Fruit (25-40:1)",0,2
"Extraction Solvent: Acetone",0,6
"Human Fibrinogen",0,156
"Human Thrombin",0,78
"Dimethyl Sulfoxide",0,16
Phenylbutazone,0,8
"Dry Extract From Devil's Claw Root (Der 1.5-3:1)",0,4
Diclofenac,0,29
"Povidone K30",0,2
"Argentum Metallicum Dil. D10",0,2
"Arisaema Triphyllum Dil. D2",0,2
"Arum Maculatum Dil. D2",0,2
"Acidum Arsenicosum Dil. D10",0,4
"Arum Triphyllum Dil D2",0,1
"Ammonium Bromatum Dil D2",0,1
"Hydrargyrum Bichloratum Dil D8",0,4
"Timolol Maleate Ph. Eur.",0,5
Triptorelin,0,84
"Phosphorus Dil. D30",0,4
"Calcium Carbonicum Hahnemanni Dil. D30",0,4
"Argentum Nitricum Dil. D12",0,2
"Propafenone Hydrochloride",0,75
"Paroxetine Hydrochloride Hemihydrate",0,17
Dorzolamide,0,195
"Asa Foetida Dil. D2",0,2
"Ignatia Dil. D3",0,1
"Nux Moschata Dil. D3",0,1
"Zincum Isovalerianicum Dil. D5",0,3
"Rasagiline Tartrate",0,17
"Carbasalate Calcium",0,3
"Piperazine Hydrate Bp",0,1
"Ibandronic Acid Monosodium Salt",0,21
Monohydrate,0,21
"Ferrous Ascorbate",0,1
"Rutoside Trihydrate",0,17
"Thonzylamine Hydrochloride",0,3
"Mebechinium Metilsulfate",0,1
Zolmitriptan,0,131
"Guaifenesin Bp",0,14
"Glycerin Bp",0,18
"Hexylresorcinol Bp",0,9
Hexylresorcinol,0,25
"Levomenthol Bp",0,14
"Aniseed Oil Bp",0,15
"Capsicum Tincture Bpc",0,24
"Cajuput Oil",0,24
"Nicotine Resinate",0,105
"Ammonium Chloride Bp",0,7
"Diphenhydramine Hydrochloride Bp",0,13
"Tincture From Matricaria Flower (1:4-5)",0,1
Milrinone,0,53
"Itopride Hydrochloride",0,42
"Magnesium Aspartate Tetrahydrate",0,25
Cytisinicline,0,65
"Potassium Hydrogen Aspartate Hemihydrate",0,8
"Magnesium Aspartate",0,11
"Potassium Hydrogen Aspartate",0,4
"Potassium Aspartate Hemihydrate",0,12
"Asparagus Root Powder",0,2
"Parsley Powder",0,2
"L-Aspartic Acid",0,1
Pegcetacoplan,0,4
"Soft Extract From Thyme (1.7 -2.5: 1)",0,4
"Extraction Solvents: Ammonia Solution 10 % (M/M)",0,35
"Glycerol 85%",0,31
"Ethanol 90%",0,7
"Anhydrous Lidocaine Hydrochloride",0,50
"Aspirin Bp",0,7
"Caffeine Monohydrate",0,2
Roxithromycin,0,45
Itraconazole,0,129
Ganirelix,0,54
"Aster Pollen",0,1
Erdosteine,0,25
"Grindelia Robusta Dil. D3",0,5
"Blatta Orientalis Dil. D 5",0,1
"Euspongia Officinalis Dil. D 5",0,2
"Ammi Visnaga Dil. D 7",0,1
"Drosera Dil. D1",0,3
"Hyoscyamus Dil. D2",0,1
"Eriodictyon Californicum Dil. D2",0,3
"Siberian Ginseng Root",0,1
"Natrium Phosphoricum Dil. D4",0,1
"Atropa Bella-Donna Spag. Peka Dil. D4",0,2
"Strychnos Nux-Vomica Spag. Peka Dil. D4",0,2
"Robinia Pseudoacacia Spag. Peka Dil. D6",0,1
Fludrocortisone,0,7
Torasemide,0,107
Metopimazine,0,14
"Human Antithrombin",0,2
"Hydroxyzine Dihydrochloride",0,6
"Hydroxyzine Hydrochloride",0,78
Atazanavir,0,50
"Atazanavir Sulfate",0,2
Atenolol,0,194
Oxytetracycline,0,35
Indacaterol,0,28
"Ipratropium Bromide Monohydrate",0,91
"Human Plasma Derived Antithrombin",0,2
"Atenolol Ph. Eur.",0,6
"Adenosine 5' Triphosphate",0,1
"Disodium Salt",0,1
"Adenosine Triphosphate",0,2
"Anti-T Lymphocyte Immunoglobulin For Human Use",0,63
Horse,0,15
"Atorvastatin Calcium Trihydrate",0,99
Pyridoxine,0,10
"Tolnaftate Bp",0,1
"Benzalkonium Chloride Solution Bp",0,1
Thiamazole,0,40
"Tapentadol Hydrochloride",0,62
"Naftifine Hydrochloride",0,20
"Solanum Dulcamara D6",0,4
"Sambucus Nigra D1",0,1
"Natrium Sulfuricum D6",0,3
"Arsenicum Album D12",0,3
Prazosin,0,4
"Tacrolimus Monohydrate",0,20
Atosiban,0,43
"Atosiban Acetate",0,2
Ondansetron,0,351
Somatostatin,0,28
Atovaquone,0,105
"Proguanil Hydrochloride",0,84
"Ferrous Fumarate",0,35
"Cefoxitin Sodium",0,15
Nelarabine,0,4
Sacubitril,0,138
Dexibuprofen,0,42
"Fenoterol Hydrobromide",0,44
"Tincture From Arnica Montana Flower (Der 1:20)",0,1
"Extraction Solvent: Ethanol 57.9% (V/V)",0,1
"Tincture From Fresh Arnica Montana",0,1
"Atropine Sulfate Monohydrate",0,39
"Atropine Sulfate Ph. Eur.",0,4
Atropine,0,8
"Atropine Sulphate Bp",0,1
"Dry Extract From Devil's Claw Root Corresponding To 720 - 1440 Mg Of Dried Root",0,1
"Ipratropium Bromide Anhydrous",0,18
Azathioprine,0,90
Diflunisal,0,1
"Arum Maculatum Dil. D4",0,1
"Hedera Helix Spag. Peka Dil. D6",0,2
"Hawthorn (Flowering Top Powder)",0,4
"Obecabtagene Autoleucel",0,4
"Choline Salicylate",0,26
"Choline Salicylate Solution Bp",0,2
Ofloxacin,0,134
"Cucurbita Pepo",0,2
"Flos Rec. Trit. D2",0,2
"Apatit Trit. D5",0,2
"Conchae Trit. D1",0,1
Quercus,0,4
"Ethanol. Decoctum Trit. D3",0,3
Conchae,0,2
"Hepar Sulfuris D12",0,13
"Hydrargyrum Bichloratum D15",0,1
"Midodrine Hydrochloride",0,55
Repotrectinib,0,4
"Dextran 70",0,17
"Aumolertinib Mesilate",0,1
"Phenytoin Sodium",0,49
"Chlortetracycline Hydrochloride",0,12
Citalopram,0,145
"Oxytetracycline Hydrochloride",0,19
"Hexamidine Diisetionate",0,53
"Mebeverine Hydrochloride",0,76
"Prednisolone Caproate",0,13
Hesperidin,0,61
Felodipine,0,110
Moclobemide,0,26
"Aurum Metallicum Praeparatum Dil. D10 Aquos.",0,5
"Hyoscyamus Niger",0,2
"Planta Tota Rh Dil. D5",0,1
"Stibium Metallicum Praeparatum Dil. D6 Aquos.",0,4
"Aurum Metallicum Praeparatum Dil. D10",0,3
"Hyoscyamus Dil. D5",0,1
"Stibium Metallicum Praeparatum Dil. D6",0,1
"Aurum Metallicum Praeparatum Dil. D4",0,1
"Rosae Aetheroleum Extractum",0,1
"Aurum Metallicum Trit. D3",0,1
Myrrh,0,3
Olibanum,0,1
"Aurum Metallicum Trit. D6",0,3
"Myrrha Trit. D3 (Hab",0,1
"Olibanum Trit. D3 (Hab",0,1
"Aurum Metallicum Trit. D7",0,3
"Myrrha Trit. D4 (Hab",0,1
"Olibanum Trit. D4 (Hab",0,1
"Cor Bovis Dil. D4",0,1
"Ferrum Sidereum Dil. D10 Aquos.",0,2
"Stibium Metallicum Praeparatum Dil. D8 Aquos.",0,1
"Aurum Metallicum Praeparatum Dil. D30",0,4
"Equisetum Arvense Rh Dil. D20",0,1
"Digitalis Purpurea D3",0,3
"Arnica Montana D3",0,20
"Crataegus D2",0,5
"Selenicereus Grandiflorus D4",0,1
"Extraction Solvent: Ethanol 12.5% V/V",0,2
"Aurum Metallicum Praeparatum Dil. D15",0,3
"Aurum Metallicum Praeparatum Trit. D10",0,4
"Aurum Metallicum Trit. D12",0,1
"Aurum Metallicum Trit. D20",0,1
"Aurum Metallicum Trit. D30",0,1
"Aurum Metallicum Dil. D5",0,1
"Camphora Dil. D3 Aquos. (Hab",0,6
"Sv 5b)",0,6
"Selenicereus Grandiflorus Ex Herba Ferm 33d Dil. D2 (Hab",0,1
"Selenicereus Grandiflorus Ex Herba Ferm 33d Dil. D3 (Hab",0,1
"Apis Regina Tota Gl Dil. D5 (Hab",0,3
"Aurum Chloratum Dil. D6 Aquos. (Hab",0,2
"Atropa Belladonna Ex Herba Ferm 33a Dil. D9 (Hab",0,2
"Plumbum Mellitum Dil. D11 Aquos. (Hab",0,2
"Equisetum Arvense Ex Herba Ferm 35b Dil. D14 (Hab",0,20
"Prunus Spinosa E Floribus Et Summitatibus Ferm 33d Dil. D5 (Hab",0,2
"Hyoscyamus Niger Ex Herba Ferm 33d Dil. D4 (Hab",0,2
"Stibium Metallicum Dil. D7",0,4
"Strophanthus Kombe E Semine Ferm 35b Dil. D5 (Hab",0,3
"Cactus Dil. D4",0,3
"Arnica Dil. D3",0,4
"Convallaria Majalis D2",0,4
"Cytisus Scoparius D1",0,1
"Arnica Montana D1",0,1
"Natrium Tetrachloroauratum D6",0,1
"Aurum Metallicum Dil. D200",0,1
"Aurum Metallicum Dil. D30",0,1
Macrocrystalline,0,11
"Aluminium Potassium Sulphate Dodecahydrate",0,2
Deutetrabenazine,0,5
"Extract Of Fresh Maple Mistletoe Herb",0,1
Linagliptin,0,324
"Benzyl Alcohol",0,35
"Denatured With Methyl Ethyl Ketone",0,10
"Hydroxychloroquine Sulfate",0,64
"Adonis Vernalis Dil. D 3",0,1
"Crataegus Dil. D 3",0,1
"Selenicereus Grandiflorus Dil. D 4",0,2
"Convallaria Majalis Dil. D3",0,3
Retinol,0,27
"Dl-Alpha Tocopherol Acetate",0,22
"Inactivated Hepatitis A Virus (Gbm Strain)",0,33
"Avena Sativa Ferm 33c Dil. D2",0,1
"Calcium Carbonicum Hahnemanni Dil D6",0,8
"Sulfur Dil. D24 Aquos.",0,2
"Valeriana Officinalis E Radice Ferm 33c Dil. D2 (Hab",0,2
"Avena Sativa Mother Tincture",0,20
"Avena Sativa 2b Ø",0,5
"Coffea Tosta",0,6
"Ethanol. Decoctum Dil. D60",0,6
Valeriana,0,7
"Tincture From Pressed Juice From Avena Sativa Herb",0,1
"(Der 1:1.2) Extraction Solvent: Ethanol 51% V/V",0,1
"Amylocaine Hydrochloride",0,7
"Adrenalinum D3",0,3
"Ficaria Verna Mother Tincture",0,2
"Paeonia Officinalis Mother Tincture",0,3
"Krameria Triandra C3",0,4
"Aesculus Hippocastanum C3",0,4
"Paeonia Officinalis D1",0,3
"Hamamelis Virginiana D1",0,3
"Dry Extract Of Rhapontic Rhubarb Root Der (16 - 26 : 1)",0,18
"Extraction Solvent: Aqueous Calcium Hydroxide Solution (Calcium Oxide : Water 1: 38 (M/M))",0,18
Betahistine,0,3
Dronabinol,0,26
Cannabidiol,0,30
"Promethazine Teoclate",0,4
"Interferon Beta-1a",0,8
Tocilizumab,0,36
"Insulin Icodec",0,6
"Bupropion Hydrochloride",0,127
"Esomeprazole Magnesium Trihydrate",0,56
Glycopyrronium,0,3
Dapagliflozin,0,316
Pidotimod,0,4
Ciclopirox,0,69
Cefixime,0,69
"Fluciclovine (18f)",0,4
"Rosuvastatin Zinc",0,24
"Diamorphine Hydrochloride",0,7
Clozapine,0,132
Avapritinib,0,4
Azacitidine,0,217
Aztreonam,0,22
"Tripelennamine Hydrochloride",0,5
"Azathioprine Bp",0,2
Azelastine,0,9
Cefazolin,0,71
"Azithromycin Monohydrate",0,4
"Anhydrous Azithromycin",0,2
"Trazodone Hydrochloride",0,108
"Nitric Oxide",0,77
"Liquid Extract From Matricaria Flower (1: 1)",0,1
"Liquid Extract From Calendula Flower (1: 1)",0,1
"Patent Blue V (E131)",0,5
"Liquid Extract Of Matricaria Flower (Der 1:2)",0,2
Sulfasalazine,0,63
Olive,0,1
Butacaine,0,1
Dimercaprol,0,1
"Thiamine Nitrate",0,35
Cobamamide,0,9
Thiamine,0,5
"12 Grass Pollen Mixture",0,2
"Mixture Of Allergen Extracts From alnus Spp.",0,1
"Fraxinus Spp.",0,1
"Fagus Spp.",0,1
"Betula Spp.",0,1
"Weed And Shrub Pollen Mixture",0,1
"Matricaria Recutita D3",0,1
"Thyme Oil",0,11
"Glycerol (85 Per Cent)",0,5
"Bacampicillin Hydrochloride",0,1
"Bacitracin Zinc",0,24
"Bacillus Cereus E Volumine Ex Muris Cellulae (Lyophil.",0,2
"Steril.) D6",0,17
"Chlorhexidine Acetate",0,15
"Anthrax Antigen Filtrate",0,2
Baclofen,0,148
"Baclofen Ph. Eur.",0,1
Mupirocin,0,78
"Colibacillinum D12",0,1
"Colibacillinum Nosode D200",0,1
"Colibacillinum D30",0,1
Ebastine,0,116
Bosentan,0,96
"Lactobacillus Plantarum P 17630",0,14
"Vancomycin Hydrochloride",0,138
Sulfamethoxazole,0,138
Trimethoprim,0,182
"Mupirocin Calcium",0,16
"Silicic Acid",0,2
Coriander,0,5
"Sodium Ion",0,40
"Carbon Dioxide",0,29
"Chloride Ion",0,38
"Bigas Flavones Solitaria A Scutellaria Baicalensis Radix",0,2
"Colistin Sulfate",0,2
"Dry Extract Of Valerian Root (6",0,8
"0 - 7",0,8
"4 : 1)",0,8
"Extraction Solvent : Ethanol 70 % (V/V)",0,8
"Tincture Of Valerian Root (1:5)",0,15
"Extraction Liquid: Ethanol 70 V/V",0,15
"Valerian Root Dry Extract (3-6:1)",0,40
"Ethanol 70 %(V/V)",0,47
"Valerianae Extractum Siccum (3 - 6 : 1)",0,26
"Tincture From Valerian Root (1:5)",0,10
"Valerian Tincture",0,14
"Dry Extract Of Melissa Leaf (4-6:1)",0,7
"Extraction Agent: Methanol 30% (V/V)",0,7
"Valerianae Tinctura (1:5)",0,6
"Valerian Root Dry Extract (4-7:1)",0,2
Weißdornfrüchte-Pulver,0,4
"Valeriana Root Tincture",0,1
"Dry Extract Of Valerian Root (5.5-7.4:1)",0,1
"Corresponding To 2.5 - 6.25 Mg Of Quinic Acid",0,2
"Valerian Root Dry Hydroalcoholic Extract (3-6:1",0,3
"Extraction Solvent: Ethanol 70% V/V)",0,3
"Dry Extract From Melissa Leaf (4-6:1)",0,1
"Valerianae Radix Dry Extract",0,15
"Omega-3-Acid Ethyl Esters 90 With A Specific Composition For Epa And Dha Not Lower Than 85%.",0,4
"Capsicum Oleoresin",0,7
"Methyl Salicylate Ph. Eur.",0,1
"Menthol Bp",0,4
"Camphor Bp",0,5
"Soya Oil",0,36
"Soya-Bean Oil Refined",0,87
Paraffin,0,31
"Light Liquid",0,26
"Arachis Oil",0,6
"Macrogol Lauryl Ether",0,7
"2.1% Sodium Chloride-Water (Brine) Sulfide",0,2
Iodide,0,4
"Melissengeist Konzentrat",0,1
"Benzyl Nicotinate",0,7
"Turpentine Essential Oil",0,3
"Niaouli Essential Oil",0,13
"Benzoin Siam",0,1
Erdafitinib,0,4
"Balsalazide Disodium",0,6
"Bambuterol Hydrochloride",0,3
"Phyllostachys E Nodo Ferm 35c Dil. D3 (Hab",0,1
"Vs. 35c)",0,1
"Vortioxetine Hydrobromide",0,21
"Calcium Citrate Tetrahydrate",0,1
Glucagon,0,44
Entecavir,0,110
"Arctium Lappa Root",0,1
"Barium Sulfate",0,52
"Kalium Phosphoricum Trit. D6",0,6
"Causticum Hahnemanni Trit. D6",0,3
"Barium Carbonicum Trit. D12",0,1
"Prilocaine Hydrochloride",0,45
"Barium Citricum Trit. D3",0,1
"Conchae Trit. D10",0,1
"Barium Citricum Dil. D9 (Hab",0,1
"Carbo Vegetabilis Dil. D5",0,3
"Cichorium Intybus E Planta Tota Ferm 33c Dil. D2 (Hab",0,3
"Fludeoxyglucose (18f)",0,130
"Barnidipine Hydrochloride",0,12
Nitrendipine,0,32
"Barium Oxalsuccinicum D200",0,1
"Barium Oxalsuccinicum D30",0,1
"Barium Oxalsuccinicum D10",0,1
"Arginine Glutamate",0,35
Benzylthiouracil,0,1
"Ciprofloxacin Hydrochloride",0,60
"Paraffin White Soft",0,26
Viscous,0,1
Prednicarbate,0,10
"Ciclopirox Olamine",0,57
"A/Victoria/4897/2022 (H1n1)pdm09-Like Strain (A/Victoria/4897/2022",0,6
Ivr-238),0,5
"Clove Oil",0,15
"Oil Of Pimenta",0,1
"Isoamyl Salicylate",0,1
Dalbavancin,0,49
Avelumab,0,4
Mirabegron,0,109
"Dexamethasone Acetate",0,9
"Bcg (Bacillus Calmette-Guérin) Bacteria",0,5
"Bcg (Bacillus Calmette-Guérin)",0,27
"Live Attenuated",0,27
"Strain Rivm (Strain 1173-P2 Derived)",0,26
"Live Bcg Bacilli (Bacillus Calmette-Guerin)",0,9
"Brasilian Moreau Substrain",0,9
"Mycobacterium Bovis",0,32
"Danish Strain 1331",0,32
"Betamethasone Benzoate",0,1
Formoterol,0,1
"Formoterol Fumarate",0,30
"Beclometasone Dipropionate Monohydrate",0,1
"Triptorelin Embonate",0,1
Treacle,0,1
"Benzalkonium Chloride Solution",0,21
Deferiprone,0,16
Nimodipine,0,79
Bezafibrate,0,32
"Sultamicillin Tosilate",0,4
"Artemisia Vulgaris Pollen",0,2
Eculizumab,0,8
"Cassia Angustifolia Vahl. (Polvo De Hojas)",0,3
"Hydrargyrum Bichloratum D8",0,3
"Betamethasone Dipropionate",0,161
"Deoxycholic Acid",0,4
"Ipecacuanha Fluid Extract",0,1
"Citric Acid Monohydrate",0,19
"Sodium Citrate",0,132
"Squill Tincture",0,4
"Methyl Salicylate Bp",0,5
"Atropa Belladonna Ex Herba Ferm 33a Dil. D2 (Hab",0,5
"Nicotiana Tabacum E Foliis Ferm 33b Dil. D4 (Hab",0,1
"Belladonna Alkaloids",0,3
"Atropa Belladonna E Fructibus Ferm 33a Dil. D5 (Hab",0,1
"Rosae Aetheroleum Dil. D7 (Hab",0,7
"Vs. 5a",0,7
"Ailanthus Glandulosa Dil. D1",0,1
"Atropa Belladonna Dil. D3",0,3
"Hydrargyrum Bicyanatum Dil. D8",0,5
"Belladonna Rh Dil. D10",0,1
"Belladonna Rh Dil. D6",0,2
"Atropa Bella-Donna Dil. D20",0,1
"Atropa Bella-Donna Rh Dil. D30",0,1
"Folium Dil. D3",0,1
"Formica Rufa Dil. D6",0,1
"Atropa Belladonna E Radice Ferm 33b Dil. D5 (Hab",0,3
"Chamomilla Recutita E Radice Ferm 33c Dil. D2 (Hab",0,11
"Atropa Bella-Donna Dil. D10",0,5
"Atropa Bella-Donna Dil. D1000",0,4
"Atropa Bella-Donna Dil. D30",0,5
"Atropa Bella-Donna Dil. D200",0,4
"Ergotamine Tartrate",0,19
"Carbo Vegetabilis Trit. D 3",0,4
"Asa Foetida Trit. D3",0,1
"Lycopodium Trit. D5",0,1
"Nux Vomica Trit. D5",0,1
"Benzoin Tincture",0,12
